Day    MxT    MnT    AvT
  1    88    59    74
  2    79    63    71
  3    77    55    66
  4    77    59    68
  5    90    66    78
  6    81    61    71
  7    73    57    65
  8    75    54    65
  9    86    32    59
 10    84    64    74
 11    91    59    75
 12    88    73    81
 13    70    59    65
 14    61    59    60
 15    64    55    60
 16    79    59    69
 17    81    57    69
 18    82    52    67
 19    81    61    71
 20    84    57    71
 21    86    59    73
 22    90    64    77
 23    90    68    79
 24    90    77    84
 25    90    72    81
 26    97    64    81
 27    91    72    82
 28    84    68    76
 29    88    66    77
 30    90    45    68
